19
Color index: 5 errorper: 0.462599011018error: -38.9805281775
Color index: 0.25, color rate: 0.25, trans_rate: -3.5
Color index: 0.5, color rate: 0.25, trans_rate: -3.5
Color index: 0.75, color rate: 0.25, trans_rate: -3.5
Color index: 1.0, color rate: 0.25, trans_rate: -3.5
Color index: 1.25, color rate: 0.25, trans_rate: -3.5
Color index: 1.5, color rate: 0.25, trans_rate: -3.5
Color index: 1.75, color rate: 0.25, trans_rate: -3.5
Color index: 2.0, color rate: 0.25, trans_rate: -3.5
Color index: 2.25, color rate: 0.25, trans_rate: -3.5
Color index: 2.5, color rate: 0.25, trans_rate: -3.5
Color index: 2.75, color rate: 0.25, trans_rate: -3.5
Color index: 3.0, color rate: 0.25, trans_rate: -3.5
Color index: 3.25, color rate: 0.25, trans_rate: -3.5
Color index: 3.5, color rate: 0.25, trans_rate: -3.5
Color index: 3.75, color rate: 0.25, trans_rate: -3.5
Color index: 4.0, color rate: 0.25, trans_rate: -3.5
Color index: 4.25, color rate: 0.25, trans_rate: -3.5
Color index: 4.5, color rate: 0.25, trans_rate: -3.5
Color index: 4.75, color rate: 0.25, trans_rate: -3.5
Color index: 5, color rate: 0.25, trans_rate: -3.5
Color index: 15 errorper: 0.667266199301error: 57.8742081507
Color index: 5.5, color rate: 0.5, trans_rate: 8.5
Color index: 6.0, color rate: 0.5, trans_rate: 8.5
Color index: 6.5, color rate: 0.5, trans_rate: 8.5
Color index: 7.0, color rate: 0.5, trans_rate: 8.5
Color index: 7.5, color rate: 0.5, trans_rate: 8.5
Color index: 8.0, color rate: 0.5, trans_rate: 8.5
Color index: 8.5, color rate: 0.5, trans_rate: 8.5
Color index: 9.0, color rate: 0.5, trans_rate: 8.5
Color index: 9.5, color rate: 0.5, trans_rate: 8.5
Color index: 10.0, color rate: 0.5, trans_rate: 8.5
Color index: 10.5, color rate: 0.5, trans_rate: 8.5
Color index: 11.0, color rate: 0.5, trans_rate: 8.5
Color index: 11.5, color rate: 0.5, trans_rate: 8.5
Color index: 12.0, color rate: 0.5, trans_rate: 8.5
Color index: 12.5, color rate: 0.5, trans_rate: 8.5
Color index: 13.0, color rate: 0.5, trans_rate: 8.5
Color index: 13.5, color rate: 0.5, trans_rate: 8.5
Color index: 14.0, color rate: 0.5, trans_rate: 8.5
Color index: 14.5, color rate: 0.5, trans_rate: 8.5
Color index: 15, color rate: 0.5, trans_rate: 8.5
Color index: 16 errorper: 0.755294772144error: 2.04716305988
Color index: 15.05, color rate: 0.05, trans_rate: 0.65
Color index: 15.1, color rate: 0.05, trans_rate: 0.65
Color index: 15.15, color rate: 0.05, trans_rate: 0.65
Color index: 15.2, color rate: 0.05, trans_rate: 0.65
Color index: 15.25, color rate: 0.05, trans_rate: 0.65
Color index: 15.3, color rate: 0.05, trans_rate: 0.65
Color index: 15.35, color rate: 0.05, trans_rate: 0.65
Color index: 15.4, color rate: 0.05, trans_rate: 0.65
Color index: 15.45, color rate: 0.05, trans_rate: 0.65
Color index: 15.5, color rate: 0.05, trans_rate: 0.65
Color index: 15.55, color rate: 0.05, trans_rate: 0.65
Color index: 15.6, color rate: 0.05, trans_rate: 0.65
Color index: 15.65, color rate: 0.05, trans_rate: 0.65
Color index: 15.7, color rate: 0.05, trans_rate: 0.65
Color index: 15.75, color rate: 0.05, trans_rate: 0.65
Color index: 15.8, color rate: 0.05, trans_rate: 0.65
Color index: 15.85, color rate: 0.05, trans_rate: 0.65
Color index: 15.9, color rate: 0.05, trans_rate: 0.65
Color index: 15.95, color rate: 0.05, trans_rate: 0.65
Color index: 16.0, color rate: 0.05, trans_rate: 0.65
Color index: 16, color rate: 0.05, trans_rate: 0.65
Color index: 8 errorper: 0.12203743155error: -9.70622255778
Color index: 15.6, color rate: -0.4, trans_rate: -6.6
Color index: 15.2, color rate: -0.4, trans_rate: -6.6
Color index: 14.8, color rate: -0.4, trans_rate: -6.6
Color index: 14.4, color rate: -0.4, trans_rate: -6.6
Color index: 14.0, color rate: -0.4, trans_rate: -6.6
Color index: 13.6, color rate: -0.4, trans_rate: -6.6
Color index: 13.2, color rate: -0.4, trans_rate: -6.6
Color index: 12.8, color rate: -0.4, trans_rate: -6.6
Color index: 12.4, color rate: -0.4, trans_rate: -6.6
Color index: 12.0, color rate: -0.4, trans_rate: -6.6
Color index: 11.6, color rate: -0.4, trans_rate: -6.6
Color index: 11.2, color rate: -0.4, trans_rate: -6.6
Color index: 10.8, color rate: -0.4, trans_rate: -6.6
Color index: 10.4, color rate: -0.4, trans_rate: -6.6
Color index: 10.0, color rate: -0.4, trans_rate: -6.6
Color index: 9.6, color rate: -0.4, trans_rate: -6.6
Color index: 9.2, color rate: -0.4, trans_rate: -6.6
